fecha,tipo_fondo,afp,valor_cuota,archivo_origen
2015-01-02,1,Habitat,11.1675113,FP-1359-en2015.XLS
2015-01-02,1,Integra,18.7119843,FP-1359-en2015.XLS
2015-01-02,1,Prima,19.3657601,FP-1359-en2015.XLS
2015-01-02,1,Profuturo,18.2555267,FP-1359-en2015.XLS
2015-01-05,1,Habitat,11.1709265,FP-1359-en2015.XLS
2015-01-05,1,Integra,18.7007963,FP-1359-en2015.XLS
2015-01-05,1,Prima,19.3207303,FP-1359-en2015.XLS
2015-01-05,1,Profuturo,18.2623432,FP-1359-en2015.XLS
2015-01-06,1,Habitat,11.1595233,FP-1359-en2015.XLS
2015-01-06,1,Integra,18.6837478,FP-1359-en2015.XLS
2015-01-06,1,Prima,19.2925121,FP-1359-en2015.XLS
2015-01-06,1,Profuturo,18.2327323,FP-1359-en2015.XLS
2015-01-07,1,Habitat,11.1720783,FP-1359-en2015.XLS
2015-01-07,1,Integra,18.7084588,FP-1359-en2015.XLS
2015-01-07,1,Prima,19.3259195,FP-1359-en2015.XLS
2015-01-07,1,Profuturo,18.2591433,FP-1359-en2015.XLS
2015-01-08,1,Habitat,11.2080319,FP-1359-en2015.XLS
2015-01-08,1,Integra,18.7207551,FP-1359-en2015.XLS
2015-01-08,1,Prima,19.3449208,FP-1359-en2015.XLS
2015-01-08,1,Profuturo,18.2649549,FP-1359-en2015.XLS
2015-01-09,1,Habitat,11.2183345,FP-1359-en2015.XLS
2015-01-09,1,Integra,18.7376355,FP-1359-en2015.XLS
2015-01-09,1,Prima,19.3528125,FP-1359-en2015.XLS
2015-01-09,1,Profuturo,18.2730574,FP-1359-en2015.XLS
2015-01-12,1,Habitat,11.2026235,FP-1359-en2015.XLS
2015-01-12,1,Integra,18.7090991,FP-1359-en2015.XLS
2015-01-12,1,Prima,19.3137063,FP-1359-en2015.XLS
2015-01-12,1,Profuturo,18.2338595,FP-1359-en2015.XLS
2015-01-13,1,Habitat,11.2144341,FP-1359-en2015.XLS
2015-01-13,1,Integra,18.7340971,FP-1359-en2015.XLS
2015-01-13,1,Prima,19.3045107,FP-1359-en2015.XLS
2015-01-13,1,Profuturo,18.2519748,FP-1359-en2015.XLS
2015-01-14,1,Habitat,11.2265768,FP-1359-en2015.XLS
2015-01-14,1,Integra,18.759802,FP-1359-en2015.XLS
2015-01-14,1,Prima,19.306896,FP-1359-en2015.XLS
2015-01-14,1,Profuturo,18.2697768,FP-1359-en2015.XLS
2015-01-15,1,Habitat,11.2407806,FP-1359-en2015.XLS
2015-01-15,1,Integra,18.784446,FP-1359-en2015.XLS
2015-01-15,1,Prima,19.3386185,FP-1359-en2015.XLS
2015-01-15,1,Profuturo,18.3001392,FP-1359-en2015.XLS
2015-01-16,1,Habitat,11.2930221,FP-1359-en2015.XLS
2015-01-16,1,Integra,18.885322,FP-1359-en2015.XLS
2015-01-16,1,Prima,19.4392435,FP-1359-en2015.XLS
2015-01-16,1,Profuturo,18.4056079,FP-1359-en2015.XLS
2015-01-19,1,Habitat,11.2898924,FP-1359-en2015.XLS
2015-01-19,1,Integra,18.8851705,FP-1359-en2015.XLS
2015-01-19,1,Prima,19.4404586,FP-1359-en2015.XLS
2015-01-19,1,Profuturo,18.3991475,FP-1359-en2015.XLS
2015-01-20,1,Habitat,11.3021075,FP-1359-en2015.XLS
2015-01-20,1,Integra,18.9045933,FP-1359-en2015.XLS
2015-01-20,1,Prima,19.4462873,FP-1359-en2015.XLS
2015-01-20,1,Profuturo,18.4155428,FP-1359-en2015.XLS
2015-01-21,1,Habitat,11.2994913,FP-1359-en2015.XLS
2015-01-21,1,Integra,18.9030176,FP-1359-en2015.XLS
2015-01-21,1,Prima,19.4376958,FP-1359-en2015.XLS
2015-01-21,1,Profuturo,18.4089091,FP-1359-en2015.XLS
2015-01-22,1,Habitat,11.3256594,FP-1359-en2015.XLS
2015-01-22,1,Integra,18.9625362,FP-1359-en2015.XLS
2015-01-22,1,Prima,19.4948082,FP-1359-en2015.XLS
2015-01-22,1,Profuturo,18.4583788,FP-1359-en2015.XLS
2015-01-23,1,Habitat,11.3759572,FP-1359-en2015.XLS
2015-01-23,1,Integra,19.072289,FP-1359-en2015.XLS
2015-01-23,1,Prima,19.5912026,FP-1359-en2015.XLS
2015-01-23,1,Profuturo,18.5446191,FP-1359-en2015.XLS
2015-01-26,1,Habitat,11.4025015,FP-1359-en2015.XLS
2015-01-26,1,Integra,19.122272,FP-1359-en2015.XLS
2015-01-26,1,Prima,19.6391821,FP-1359-en2015.XLS
2015-01-26,1,Profuturo,18.5843827,FP-1359-en2015.XLS
2015-01-27,1,Habitat,11.4008684,FP-1359-en2015.XLS
2015-01-27,1,Integra,19.1258806,FP-1359-en2015.XLS
2015-01-27,1,Prima,19.6548845,FP-1359-en2015.XLS
2015-01-27,1,Profuturo,18.5876293,FP-1359-en2015.XLS
2015-01-28,1,Habitat,11.4148673,FP-1359-en2015.XLS
2015-01-28,1,Integra,19.1501943,FP-1359-en2015.XLS
2015-01-28,1,Prima,19.6686007,FP-1359-en2015.XLS
2015-01-28,1,Profuturo,18.609481,FP-1359-en2015.XLS
2015-01-29,1,Habitat,11.437727,FP-1359-en2015.XLS
2015-01-29,1,Integra,19.1673395,FP-1359-en2015.XLS
2015-01-29,1,Prima,19.684723,FP-1359-en2015.XLS
2015-01-29,1,Profuturo,18.6356906,FP-1359-en2015.XLS
2015-01-30,1,Habitat,11.4646293,FP-1359-en2015.XLS
2015-01-30,1,Integra,19.2078287,FP-1359-en2015.XLS
2015-01-30,1,Prima,19.7446813,FP-1359-en2015.XLS
2015-01-30,1,Profuturo,18.6889562,FP-1359-en2015.XLS
2015-01-02,2,Habitat,11.3357012,FP-1359-en2015.XLS
2015-01-02,2,Integra,134.7643726,FP-1359-en2015.XLS
2015-01-02,2,Prima,25.2752851,FP-1359-en2015.XLS
2015-01-02,2,Profuturo,128.3816801,FP-1359-en2015.XLS
2015-01-05,2,Habitat,11.2943057,FP-1359-en2015.XLS
2015-01-05,2,Integra,134.1979836,FP-1359-en2015.XLS
2015-01-05,2,Prima,25.1291032,FP-1359-en2015.XLS
2015-01-05,2,Profuturo,127.7749796,FP-1359-en2015.XLS
2015-01-06,2,Habitat,11.2430162,FP-1359-en2015.XLS
2015-01-06,2,Integra,133.4969293,FP-1359-en2015.XLS
2015-01-06,2,Prima,25.0164833,FP-1359-en2015.XLS
2015-01-06,2,Profuturo,127.0516827,FP-1359-en2015.XLS
2015-01-07,2,Habitat,11.2862123,FP-1359-en2015.XLS
2015-01-07,2,Integra,134.043398,FP-1359-en2015.XLS
2015-01-07,2,Prima,25.1127619,FP-1359-en2015.XLS
2015-01-07,2,Profuturo,127.6362887,FP-1359-en2015.XLS
2015-01-08,2,Habitat,11.3444169,FP-1359-en2015.XLS
2015-01-08,2,Integra,134.5226107,FP-1359-en2015.XLS
2015-01-08,2,Prima,25.1919052,FP-1359-en2015.XLS
2015-01-08,2,Profuturo,128.1318901,FP-1359-en2015.XLS
2015-01-09,2,Habitat,11.3394043,FP-1359-en2015.XLS
2015-01-09,2,Integra,134.3777207,FP-1359-en2015.XLS
2015-01-09,2,Prima,25.1710111,FP-1359-en2015.XLS
2015-01-09,2,Profuturo,127.8332746,FP-1359-en2015.XLS
2015-01-12,2,Habitat,11.3023013,FP-1359-en2015.XLS
2015-01-12,2,Integra,133.8667348,FP-1359-en2015.XLS
2015-01-12,2,Prima,25.0853246,FP-1359-en2015.XLS
2015-01-12,2,Profuturo,127.2551999,FP-1359-en2015.XLS
2015-01-13,2,Habitat,11.3126576,FP-1359-en2015.XLS
2015-01-13,2,Integra,133.9586859,FP-1359-en2015.XLS
2015-01-13,2,Prima,25.0838506,FP-1359-en2015.XLS
2015-01-13,2,Profuturo,127.3718597,FP-1359-en2015.XLS
2015-01-14,2,Habitat,11.2984205,FP-1359-en2015.XLS
2015-01-14,2,Integra,133.7309482,FP-1359-en2015.XLS
2015-01-14,2,Prima,25.0212919,FP-1359-en2015.XLS
