periodo,codigo_serie,afp,variable,valor
Ene.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Ene.2010,PN01169MM,Integra,valor_fondo_mill_soles,20688.3434357649
Ene.2010,PN01170MM,Prima,valor_fondo_mill_soles,20436.2222829118
Ene.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,9788.72690098339
Ene.2010,PN01174MM,Habitat,afiliados_miles,0
Ene.2010,PN01175MM,Integra,afiliados_miles,1158.323
Ene.2010,PN01176MM,Prima,afiliados_miles,1081.566
Ene.2010,PN01177MM,Profuturo,afiliados_miles,1018.641
Ene.2010,PN01179MM,Habitat,rentab_real_12m,0
Ene.2010,PN01180MM,Integra,rentab_real_12m,29.5137
Feb.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Feb.2010,PN01169MM,Integra,valor_fondo_mill_soles,20956.5692034118
Feb.2010,PN01170MM,Prima,valor_fondo_mill_soles,20649.0104079371
Feb.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,9876.2835916909
Feb.2010,PN01174MM,Habitat,afiliados_miles,0
Feb.2010,PN01175MM,Integra,afiliados_miles,1161.962
Feb.2010,PN01176MM,Prima,afiliados_miles,1085.37
Feb.2010,PN01177MM,Profuturo,afiliados_miles,1021.027
Feb.2010,PN01179MM,Habitat,rentab_real_12m,0
Feb.2010,PN01180MM,Integra,rentab_real_12m,25.0676
Mar.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Mar.2010,PN01169MM,Integra,valor_fondo_mill_soles,21942.9405146009
Mar.2010,PN01170MM,Prima,valor_fondo_mill_soles,21722.7976818747
Mar.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,10388.871729028
Mar.2010,PN01174MM,Habitat,afiliados_miles,0
Mar.2010,PN01175MM,Integra,afiliados_miles,1164.736
Mar.2010,PN01176MM,Prima,afiliados_miles,1088.878
Mar.2010,PN01177MM,Profuturo,afiliados_miles,1022.747
Mar.2010,PN01179MM,Habitat,rentab_real_12m,0
Mar.2010,PN01180MM,Integra,rentab_real_12m,27.5592
Abr.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Abr.2010,PN01169MM,Integra,valor_fondo_mill_soles,22277.339212491
Abr.2010,PN01170MM,Prima,valor_fondo_mill_soles,22223.4984156402
Abr.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,10616.5486497626
Abr.2010,PN01174MM,Habitat,afiliados_miles,0
Abr.2010,PN01175MM,Integra,afiliados_miles,1167.793
Abr.2010,PN01176MM,Prima,afiliados_miles,1091.921
Abr.2010,PN01177MM,Profuturo,afiliados_miles,1024.591
Abr.2010,PN01179MM,Habitat,rentab_real_12m,0
Abr.2010,PN01180MM,Integra,rentab_real_12m,21.781
May.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
May.2010,PN01169MM,Integra,valor_fondo_mill_soles,21717.5318322061
May.2010,PN01170MM,Prima,valor_fondo_mill_soles,21544.1233770074
May.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,10299.6668940719
May.2010,PN01174MM,Habitat,afiliados_miles,0
May.2010,PN01175MM,Integra,afiliados_miles,1170.326
May.2010,PN01176MM,Prima,afiliados_miles,1095.486
May.2010,PN01177MM,Profuturo,afiliados_miles,1026.661
May.2010,PN01179MM,Habitat,rentab_real_12m,0
May.2010,PN01180MM,Integra,rentab_real_12m,14.1865
Jun.2010,PN01168MM,Habitat,valor_fondo_mill_soles,0
Jun.2010,PN01169MM,Integra,valor_fondo_mill_soles,21423.5604746244
Jun.2010,PN01170MM,Prima,valor_fondo_mill_soles,21425.6305400945
Jun.2010,PN01171MM,Profuturo,valor_fondo_mill_soles,10181.0188763141
Jun.2010,PN01174MM,Habitat,afiliados_miles,0
