mes,anio,afp,tipo_fondo,valor_cuota,valor_fondo_mill_soles,afiliados_miles,rentab_real_12m,rend_bono_10a_soles,esperanza_vida,dias_habiles,imputado
2016-04,2016,Habitat,0,10.0241047,1936.64969164438,750.532,-0.9824,6.54485714285714,75.951,21,No
2016-05,2016,Habitat,0,10.0600936,2087.69663297658,776.47,0.7342,6.26581818181818,75.951,22,No
2016-06,2016,Habitat,0,10.0966156,2161.7944039254,800.252,1.5272,6.08436363636364,75.951,22,No
2016-07,2016,Habitat,0,10.1313678,2378.22258681751,822.714,4.6844,5.75652380952381,75.951,21,No
2016-08,2016,Habitat,0,10.1654793,2522.62151333492,841.572,8.6776,5.63617391304348,75.951,23,No
2016-09,2016,Habitat,0,10.1979883,2639.15883175622,901.326,13.7829,5.79354545454546,75.951,22,No
2016-10,2016,Habitat,0,10.2374131,2742.45519980248,931.139,11.8286,5.77085714285714,75.951,21,No
2016-11,2016,Habitat,0,10.2809561,2848.92395200389,959.841,6.7489,6.30986363636364,75.951,22,No
2016-12,2016,Habitat,0,10.3206983,2987.33822935869,983.523,7.5287,6.44685714285714,75.951,22,No
2017-01,2017,Habitat,0,10.3618715,3130.48726837086,1016.507,10.5216,6.35095454545454,75.958,22,No
2017-02,2017,Habitat,0,10.40009,3289.92696911258,1048.237,9.8033,6.26035,75.958,20,No
2017-03,2017,Habitat,0,10.4464806,3448.33045873464,1075.157,7.6363,6.09739130434783,75.958,23,No
2017-04,2017,Habitat,0,10.4912024,3605.08114262891,1094.378,8.11,5.87055555555556,75.958,20,No
2017-05,2017,Habitat,0,10.5411638,3848.79667133579,1120.162,9.6708,5.71772727272727,75.958,23,No
2017-06,2017,Habitat,0,10.5847976,4007.89024450559,1121.407,10.6836,5.57905,75.958,22,No
2017-07,2017,Habitat,0,10.6330884,4186.76146545536,1120.237,8.0892,5.65947368421053,75.958,21,No
2017-08,2017,Habitat,0,10.6789477,4409.87321832333,1119.802,5.9864,5.46204347826087,75.958,23,No
2017-09,2017,Habitat,0,10.7194825,4715.73094793111,1118.76,7.3285,5.34190476190476,75.958,21,No
2017-10,2017,Habitat,0,10.7635166,5008.3373276788,1117.379,10.069,5.26331818181818,75.958,22,No
2017-11,2017,Habitat,0,10.8049786,5202.99201593153,1114.026,12.468,5.2997619047619,75.958,22,No
2017-12,2017,Habitat,0,10.8443599,5426.42054528316,1113.958,12.264,5.24947368421053,75.958,20,No
2018-01,2018,Habitat,0,10.8967143,5840.3377,1112.248,15.4444,4.81809523809524,76.018,22,No
2018-02,2018,Habitat,0,10.932876,5983.4190522928,1110.884,14.9384,4.7945,76.018,20,No
2018-03,2018,Habitat,0,10.9756614,6123.5856234568,1108.557,14.8011,4.845,76.018,22,No
2018-04,2018,Habitat,0,11.0174605,6328.5324381472,1105.945,12.453,5.0242,76.018,21,No
2018-05,2018,Habitat,0,11.0518001,6475.5483681325,1103.833,8.8915,5.47227272727273,76.018,23,No
2018-06,2018,Habitat,0,11.0834214,6582.52431434543,1101.484,6.6129,5.6626,76.018,21,No
2018-07,2018,Habitat,0,11.1187274,6865.7495785163,1098.824,6.1743,5.48476190476191,76.018,22,No
2018-08,2018,Habitat,0,11.1527271,6980.9714596802,1095.694,5.9617,5.4252380952381,76.018,23,No
2018-09,2018,Habitat,0,11.1839765,7146.60068942462,1092.877,3.6555,5.5175,76.018,20,No
2018-10,2018,Habitat,0,11.2220545,7023.9843667038,1089.625,-1.4143,5.73181818181818,76.018,23,No
2018-11,2018,Habitat,0,11.2580462,7325.0388722661,1085.954,-3.2753,5.727,76.018,22,No
2018-12,2018,Habitat,0,11.2979245,7278.9953321263,1080.654,-3.9776,5.74363157894737,76.018,20,No
2019-01,2019,Habitat,0,11.3403657,7707.9566883989,1075.999,-6.284,5.58772727272727,76.275,22,No
2019-02,2019,Habitat,0,11.3791229,7919.6725515057,1072.835,-3.5287,5.4945,76.275,20,No
2019-03,2019,Habitat,0,11.4192219,8197.49637,1068.753,-2.6609,5.29923809523809,76.275,21,No
2019-04,2019,Habitat,0,11.4641148,8507.390526811,1068.753,-0.1293,5.2158,76.275,22,No
2019-05,2019,Habitat,0,11.5074316,8538.9265846034,1061.24,0.1542,5.13735454545455,76.275,23,No
2019-06,2019,Habitat,0,11.5463322,8947.324598162,1058.074,2.5938,4.81719,76.275,20,No
2019-07,2019,Habitat,0,11.597634,9280.2637346927,1053.311,5.4708,4.4401,76.275,23,No
2019-08,2019,Habitat,0,11.6445308,9521.255524996,1047.807,4.4574,4.228985,76.275,22,No
2019-09,2019,Habitat,0,11.6868438,9928.2725042617,1043.142,5.851,4.15212380952381,76.275,21,No
2019-10,2019,Habitat,0,11.7300121,10357.9640558158,1038.127,9.1555,4.07454285714286,76.275,23,No
2019-11,2019,Habitat,0,11.7749209,10726.8086526193,1038.127,11.0591,4.23969,76.275,21,No
2019-12,2019,Habitat,0,11.8168002,11197.7594342813,1028.079,13.2615,4.3559380952381,76.275,21,No
2020-01,2020,Habitat,0,11.86207,11707.740292013,1023.434,13.7019,4.50230909090909,73.832,22,No
2020-02,2020,Habitat,0,11.8922131,11821.3618998711,1020.101,12.015,4.258095,73.832,20,No
2020-03,2020,Habitat,0,11.9386146,10754.3990247901,1017.289,-0.3735,5.08725909090909,73.832,22,No
2020-04,2020,Habitat,0,11.9703835,10980.5649566996,1017.289,-5.3474,5.0255,73.832,22,No
2020-05,2020,Habitat,0,12.0006144,11398.447952562,1015.708,-0.3459,4.4295,73.832,21,No
2020-06,2020,Habitat,0,12.030218,10942.622463151,1016.269,3.0388,4.39,73.832,22,No
2020-07,2020,Habitat,0,12.0624608,11042.76120322,1016.818,2.9391,4.24045454545455,73.832,23,No
2020-08,2020,Habitat,0,12.092578800000002,11384.624024538,1017.458,6.2386,4.06714285714286,73.832,21,No
2020-09,2020,Habitat,0,12.1349566,11578.212793295,1017.861,5.3575,4.18681818181818,73.832,22,No
2020-10,2020,Habitat,0,12.167711,11814.144171796,1018.159,5.8981,4.20545454545454,73.832,22,No
2020-11,2020,Habitat,0,12.1984073,12905.449771242,1018.593,7.6204,4.01450476190476,73.832,21,No
2020-12,2020,Habitat,0,12.2250266,13643.608699135,1018.475,12.424,3.63264285714286,73.832,22,No
2021-01,2021,Habitat,0,12.2395916,13932.212995653,1018.5,13.0458,3.658,71.596,20,No
2021-02,2021,Habitat,0,12.2678753,14326.919933301,1019.274,14.8401,3.9115,71.596,20,No
2021-03,2021,Habitat,0,12.2788223,14309.363301325,1021.017,23.7131,4.68608695652174,71.596,23,No
2021-04,2021,Habitat,0,12.2893403,14524.618995485,1020.908,26.6028,5.09,71.596,22,No
2021-05,2021,Habitat,0,12.2981889,15154.531960051,1021.525,20.4762,4.99,71.596,21,No
2021-06,2021,Habitat,0,12.3051467,14696.713883315,1021.764,14.9148,5.27323809523809,71.596,22,No
2021-07,2021,Habitat,0,12.3115635,13857.185787124,1021.539,9.4667,5.6647,71.596,22,No
2021-08,2021,Habitat,0,12.3174326,13073.240595599,1020.957,3.5617,6.35523809523809,71.596,22,No
2021-09,2021,Habitat,0,12.3234056,12565.039881103,1020.191,5.352,6.34227272727273,71.596,22,No
2021-10,2021,Habitat,0,12.3325413,12752.169611851,1019.287,3.703,5.9495,71.596,21,No
2021-11,2021,Habitat,0,12.3451281,12826.183813618,1018.426,2.6693,5.86571428571429,71.596,22,No
2021-12,2021,Habitat,0,12.3585783,12825.4686689947,1016.413,-3.1892,5.92563636363636,71.596,23,No
2022-01,2022,Habitat,0,12.3719941,12714.33856496,1016.358,-6.0243,6.07457142857143,76.834,21,No
2022-02,2022,Habitat,0,12.3934979,12750.189134255,1015.787,-8.8462,6.071,76.834,20,No
2022-03,2022,Habitat,0,12.4336752,12917.6337286779,1014.843,-5.3161,6.59782608695652,76.834,23,No
2022-04,2022,Habitat,0,12.474827,12557.36471685,1014.357,-5.9681,7.37315789473684,76.834,21,No
2022-05,2022,Habitat,0,12.5337962,12272.7696964005,1014.467,-11.5009,7.92363636363636,76.834,22,No
2022-06,2022,Habitat,0,12.5875614,11852.6360985997,1014.653,-14.3596,7.858,76.834,22,No
2022-07,2022,Habitat,0,12.6406283,11730.1881815874,1014.282,-15.6259,8.21631578947368,76.834,21,No
2022-08,2022,Habitat,0,12.7032196,11111.0209573065,1014.075,-11.6141,7.90872727272727,76.834,23,No
